category,state,jobs_retained,total_loan_amount
Civic and Social Organizations,OK,586,2743811.47
Other Electronic Parts and Equipment Merchant Wholesalers,MA,184,2743782.02
"Cosmetics, Beauty Supplies, and Perfume Stores",LA,382,2743779.62
Car Washes,NE,477,2743607.78
Radio Stations,MO,465,2743107.93
Appliance Repair and Maintenance,MN,270,2742345.91
Other Performing Arts Companies,TN,158,2742255.94
Amusement Arcades,FL,535,2742253.72
Private Households,VA,145,2741638.63
All Other Health and Personal Care Stores,MO,404,2740156.30
Drycleaning and Laundry Services (except Coin-Operated),IN,558,2739615.43
Outpatient Mental Health and Substance Abuse Centers,ID,333,2738805.52
Cutting Tool and Machine Tool Accessory Manufacturing,IL,280,2737671.53
Electronics Stores,UT,972,2737455.41
Flooring Contractors,ID,305,2737153.66
"Highway, Street, and Bridge Construction",WI,377,2736354.81
Advertising Material Distribution Services,TX,304,2735150.93
All Other Outpatient Care Centers,AK,239,2733786.85
Sheet Metal Work Manufacturing,MA,167,2733389.07
"Photography Studios, Portrait",NC,422,2733182.70
All Other Support Activities for Transportation,TN,315,2733048.14
Record Production and Distribution,CA,222,2731865.20
Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),OH,274,2731330.29
Sign Manufacturing,SC,353,2730882.05
"Photography Studios, Portrait",MD,355,2730526.15
Museums,CT,340,2729707.68
Other Automotive Mechanical and Electrical Repair and Maintenance,UT,645,2729267.09
Offices of Other Holding Companies,MD,335,2729175.31
Barber Shops,WI,522,2729098.82
Fish and Seafood Merchant Wholesalers,LA,549,2728193.08
Masonry Contractors,OR,301,2728185.95
All Other Miscellaneous Crop Farming,ND,342,2727626.94
Used Household and Office Goods Moving,MO,506,2727448.28
Recreational Vehicle Dealers,OH,390,2726782.27
Florists,WI,698,2726007.45
Framing Contractors,NC,262,2725597.61
Retail Bakeries,VA,511,2724957.64
Pharmaceutical Preparation Manufacturing,TX,275,2724360.11
Commercial Screen Printing,TN,383,2724333.95
Other Industrial Machinery Manufacturing,IN,222,2724282.74
Other Grocery and Related Products Merchant Wholesalers,VA,276,2723484.12
"Automotive Body, Paint, and Interior Repair and Maintenance",ME,360,2723385.85
Offices of Real Estate Appraisers,AL,244,2723117.14
All Other Specialty Food Stores,AL,743,2722999.47
Support Activities for Oil and Gas Operations,WV,262,2722887.54
Fish and Seafood Markets,CA,503,2721995.78
Used Merchandise Stores,MA,492,2721763.80
Research and Development in Biotechnology (except Nanobiotechnology),FL,144,2721454.59
Other Building Equipment Contractors,MN,320,2720739.46
Research and Development in Biotechnology (except Nanobiotechnology),PA,126,2720557.14
School and Employee Bus Transportation,NJ,590,2720316.63
Commercial Screen Printing,WA,277,2720230.36
Snack and Nonalcoholic Beverage Bars,OK,965,2719425.14
Food (Health) Supplement Stores,NJ,381,2718771.85
Clothing Accessories Stores,MA,398,2717760.63
"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",NC,294,2717302.27
Food Service Contractors,AZ,594,2716909.15
All Other Automotive Repair and Maintenance,LA,301,2716824.19
Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,NY,207,2716601.34
Tobacco Farming,KY,680,2716491.26
Freight Transportation Arrangement,WI,239,2716151.75
Drywall and Insulation Contractors,SC,271,2715992.75
Men's Clothing Stores,NJ,403,2715685.90
Residential Property Managers,MS,399,2715195.78
Nursing Care Facilities (Skilled Nursing Facilities),MA,405,2714840.41
Consumer Lending,GA,395,2714382.56
Golf Courses and Country Clubs,MS,790,2714279.06
Theater Companies and Dinner Theaters,MN,390,2713779.92
"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",AZ,600,2713773.00
Securities Brokerage,NJ,158,2713588.01
"Independent Artists, Writers, and Performers",LA,402,2712160.17
Clothing Accessories Stores,HI,394,2710931.77
Boat Dealers,GA,287,2710600.98
Kidney Dialysis Centers,TX,350,2710280.34
Business Associations,NC,348,2708606.47
Other Personal and Household Goods Repair and Maintenance,SC,382,2708508.92
Finish Carpentry Contractors,AR,367,2708130.55
Women's Clothing Stores,MD,524,2708015.88
Direct Health and Medical Insurance Carriers,NY,297,2707025.94
New Housing For-Sale Builders,CT,264,2706779.50
Hog and Pig Farming,MO,352,2705807.26
Lessors of Miniwarehouses and Self-Storage Units,GA,429,2705046.97
All Other General Merchandise Stores,MI,502,2704582.76
Other Building Finishing Contractors,OR,281,2704374.64
Nonscheduled Chartered Passenger Air Transportation,FL,198,2703414.73
Other Millwork (including Flooring),FL,332,2702473.89
"Process, Physical Distribution, and Logistics Consulting Services",MN,200,2702291.20
Tobacco and Tobacco Product Merchant Wholesalers,CA,298,2701322.92
All Other Traveler Accommodation,MA,331,2701266.22
New Multifamily Housing Construction (except For-Sale Builders),LA,327,2701228.31
Environmental Consulting Services,TN,247,2700965.74
Art Dealers,MA,306,2700417.78
Furniture Merchant Wholesalers,IL,257,2700071.52
All Other Telecommunications,MN,722,2699949.34
Community Food Services,OH,461,2698791.54
Materials Recovery Facilities,FL,338,2698616.63
Elementary and Secondary Schools,ME,493,2698525.00
Security Guards and Patrol Services,PA,635,2697930.79
Automotive Parts and Accessories Stores,MT,387,2697476.36
Landscape Architectural Services,NV,688,2696929.55
Custom Computer Programming Services,DE,178,2696898.38
Title Abstract and Settlement Offices,AR,338,2696889.26
Other Miscellaneous Durable Goods Merchant Wholesalers,OR,248,2696527.22
Floor Covering Stores,KY,308,2695817.31
"Environment, Conservation and Wildlife Organizations",WA,231,2695250.38
Other Miscellaneous Durable Goods Merchant Wholesalers,OK,303,2694574.83
Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,TX,222,2694566.99
All Other Travel Arrangement and Reservation Services,TX,343,2694364.92
Other Gambling Industries,WV,687,2693803.12
Water Supply and Irrigation Systems,GA,383,2692601.57
Siding Contractors,IL,366,2692488.90
Septic Tank and Related Services,OH,325,2692389.69
Industrial Supplies Merchant Wholesalers,TN,222,2691877.27
Manufactured (Mobile) Home Dealers,FL,303,2691678.74
Pet Care (except Veterinary) Services,LA,520,2691424.22
New Multifamily Housing Construction (except For-Sale Builders),TN,242,2691322.03
All Other Plastics Product Manufacturing,NJ,272,2691035.23
Food Service Contractors,MO,659,2690952.62
Clothing Accessories Stores,MI,459,2690579.73
Timber Tract Operations,NC,223,2690386.64
"Soil Preparation, Planting, and Cultivating",KS,290,2689990.72
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",AK,252,2689844.96
Payroll Services,NJ,283,2689688.97
Welding and Soldering Equipment Manufacturing,OH,282,2689379.43
Wood Kitchen Cabinet and Countertop Manufacturing,AZ,461,2689275.54
Fuel Dealers,OH,267,2689200.31
Outdoor Power Equipment Stores,GA,361,2688085.41
Food Service Contractors,AL,513,2687879.55
Offices of All Other Miscellaneous Health Practitioners,MT,394,2687761.97
Tobacco and Tobacco Product Merchant Wholesalers,FL,346,2687750.15
All Other Traveler Accommodation,SC,282,2687358.72
"Environment, Conservation and Wildlife Organizations",TX,608,2687172.43
Logging,WV,369,2686808.96
Site Preparation Contractors,NV,424,2686445.84
Dance Companies,TX,959,2685891.46
Residential Property Managers,VT,270,2685262.22
Men's Clothing Stores,IL,432,2685133.27
Internet Publishing and Broadcasting and Web Search Portals,MA,149,2685123.77
"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",CA,278,2684924.50
General Line Grocery Merchant Wholesalers,GA,464,2684850.48
Travel Agencies,WI,320,2684538.38
Lessors of Nonresidential Buildings (except Miniwarehouses),MS,368,2683937.75
Lessors of Other Real Estate Property,CT,174,2683661.64
Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),TX,315,2683641.44
Environmental Consulting Services,IN,266,2682859.47
Direct Property and Casualty Insurance Carriers,LA,249,2682813.56
Formal Wear and Costume Rental,CA,538,2682169.00
Pet and Pet Supplies Stores,OH,504,2681669.82
"Motorcycle, ATV, and All Other Motor Vehicle Dealers",CT,272,2681588.59
Administrative Management and General Management Consulting Services,DE,161,2681276.46
Masonry Contractors,KY,435,2681273.73
Research and Development in Biotechnology (except Nanobiotechnology),NC,139,2680470.48
Residential Intellectual and Developmental Disability Facilities,FL,579,2680064.03
Security Systems Services (except Locksmiths),SC,332,2679912.50
Motor Vehicle Supplies and New Parts Merchant Wholesalers,TN,240,2679457.68
Other Commercial and Service Industry Machinery Manufacturing,NY,231,2679362.96
Wood Kitchen Cabinet and Countertop Manufacturing,LA,306,2678395.64
Engineering Services,DE,173,2677971.19
Other Building Finishing Contractors,OK,370,2677681.66
Other Specialized Design Services,CO,174,2677513.29
Marketing Consulting Services,RI,162,2677496.58
Water Supply and Irrigation Systems,MN,317,2675394.51
Exam Preparation and Tutoring,GA,647,2674958.80
Barber Shops,OR,287,2674885.86
Remediation Services,GA,264,2674885.86
Other Clothing Stores,SC,371,2674740.88
Pet Care (except Veterinary) Services,AR,547,2674585.70
Appliance Repair and Maintenance,MD,331,2674483.09
Lessors of Nonresidential Buildings (except Miniwarehouses),NE,304,2674226.33
Support Activities for Animal Production,CO,404,2673395.84
"Paint, Varnish, and Supplies Merchant Wholesalers",CA,249,2673163.16
All Other Publishers,GA,153,2673160.94
Other Financial Vehicles,GA,256,2672376.76
Travel Agencies,SC,286,2672356.24
Drycleaning and Laundry Services (except Coin-Operated),OR,454,2670774.68
Custom Computer Programming Services,ID,232,2670612.30
Other Sound Recording Industries,NY,341,2669308.64
Offices of Physicians (except Mental Health Specialists),ND,229,2668575.00
Land Subdivision,IL,361,2668313.33
Supermarkets and Other Grocery (except Convenience) Stores,HI,467,2668296.22
Offices of Real Estate Appraisers,MD,233,2668263.93
Other Performing Arts Companies,OH,581,2667860.71
Veterinary Services,DE,307,2667529.82
Other Computer Related Services,OK,279,2667520.95
Footwear Merchant Wholesalers,FL,261,2667151.11
Children's and Infants' Clothing Stores,FL,453,2666132.24
All Other Insurance Related Activities,NC,260,2665521.70
Other Clothing Stores,MN,476,2664284.85
Cemeteries and Crematories,PA,313,2664211.41
"Gift, Novelty, and Souvenir Stores",IN,649,2663621.68
Security Guards and Patrol Services,MD,576,2663260.34
Services for the Elderly and Persons with Disabilities,MS,720,2663161.08
Voluntary Health Organizations,NY,252,2663123.67
Home Centers,NJ,214,2662934.70
Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,OH,229,2661161.90
Lessors of Residential Buildings and Dwellings,RI,511,2660827.64
Passenger Car Rental,NY,304,2660630.07
Communication Equipment Repair and Maintenance,CA,136,2659674.97
Business Associations,TN,217,2659635.89
Car Washes,OR,345,2659303.36
Roofing Contractors,MS,383,2658819.83
Supermarkets and Other Grocery (except Convenience) Stores,NV,606,2658806.06
All Other Outpatient Care Centers,AL,282,2658443.42
All Other Health and Personal Care Stores,TN,397,2658335.80
Other Services to Buildings and Dwellings,KY,502,2657712.21
Other Automotive Mechanical and Electrical Repair and Maintenance,IA,303,2656025.65
Other Individual and Family Services,MS,383,2655844.95
All Other Support Services,DC,234,2655769.25
Sheet Metal Work Manufacturing,PA,239,2655706.64
All Other Outpatient Care Centers,MN,310,2655448.97
"Highway, Street, and Bridge Construction",MS,291,2654734.12
Drinking Places (Alcoholic Beverages),AR,708,2654665.92
Beef Cattle Ranching and Farming,AL,322,2653772.57
"Hobby, Toy, and Game Stores",WA,684,2653630.43
Motor Vehicle Towing,KY,328,2653222.00
Other Electronic Parts and Equipment Merchant Wholesalers,PA,214,2652037.00
Motion Picture and Video Production,AZ,305,2652029.93
Beef Cattle Ranching and Farming,IL,395,2651929.62
Other Accounting Services,ME,294,2651681.61
Offices of Podiatrists,MO,288,2650667.58
Petroleum Bulk Stations and Terminals,TX,270,2650548.22
Commercial Printing (except Screen and Books),IA,363,2650473.08
Drywall and Insulation Contractors,NH,185,2650136.95
Other Scientific and Technical Consulting Services,AL,179,2650072.28
All Other Legal Services,CO,185,2648974.21
Farm Management Services,IL,324,2648844.02
Graphic Design Services,UT,453,2648788.34
Ambulance Services,VA,217,2648289.37
Soybean Farming,CA,133,2647919.57
Roofing Contractors,HI,300,2647738.50
Elementary and Secondary Schools,IA,531,2646979.09
Telemarketing Bureaus and Other Contact Centers,FL,869,2646651.67
RV (Recreational Vehicle) Parks and Campgrounds,ME,558,2646176.75
Solid Waste Collection,FL,302,2645685.61
Other Airport Operations,TX,311,2645612.72
Fish and Seafood Merchant Wholesalers,ME,387,2645439.00
Electronics Stores,TN,365,2644988.66
Surveying and Mapping (except Geophysical) Services,LA,239,2644694.72
All Other Health and Personal Care Stores,WI,404,2644379.97
Motor Vehicle Parts (Used) Merchant Wholesalers,FL,290,2643837.43
Executive Search Services,MD,332,2643229.52
Motor Vehicle Towing,UT,561,2642106.42
Farm and Garden Machinery and Equipment Merchant Wholesalers,GA,326,2641854.82
Metal Service Centers and Other Metal Merchant Wholesalers,MO,208,2641606.77
"Promoters of Performing Arts, Sports, and Similar Events with Facilities",MN,481,2640224.91
Plastics Material and Resin Manufacturing,OH,258,2640158.33
"Cosmetics, Beauty Supplies, and Perfume Stores",AL,405,2639472.05
"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",AR,257,2639246.40
Recreational Vehicle Dealers,PA,327,2638941.86
Industrial Building Construction,OK,308,2638457.77
Plate Work Manufacturing,CA,236,2638018.15
Framing Contractors,ID,367,2637999.73
Snack and Nonalcoholic Beverage Bars,NH,822,2637944.65
Securities Brokerage,OH,223,2637943.07
All Other Legal Services,TN,257,2637562.25
Other Business Service Centers (including Copy Shops),NY,319,2637006.21
Other Miscellaneous Nondurable Goods Merchant Wholesalers,OR,273,2636813.45
New Car Dealers,AL,316,2636300.53
Nursery and Tree Production,GA,498,2636006.58
Hay Farming,AZ,263,2635904.97
Claims Adjusting,CA,234,2635271.86
Museums,MI,500,2634853.21
Securities Brokerage,PA,157,2634753.50
"Photography Studios, Portrait",WI,362,2634564.43
Floor Covering Stores,OK,279,2634091.97
Food Service Contractors,CT,543,2633513.80
Computer Systems Design Services,PR,419,2633132.55
All Other Miscellaneous General Purpose Machinery Manufacturing,FL,300,2632572.25
Industrial Machinery and Equipment Merchant Wholesalers,KS,213,2631819.40
Security Systems Services (except Locksmiths),LA,343,2630596.07
Logging,NY,264,2629920.61
Landscape Architectural Services,NE,403,2629712.01
All Other Support Services,PR,622,2629654.28
Other Specialized Design Services,NC,268,2629328.38
Tile and Terrazzo Contractors,MA,237,2628455.91
Home Health Care Services,HI,484,2628071.11
Corn Farming,NC,371,2627384.64
All Other Automotive Repair and Maintenance,AR,298,2627135.65
Payroll Services,MI,244,2626972.09
Offices of Other Holding Companies,MA,258,2624621.00
Testing Laboratories,VA,197,2624541.75
Book Stores,FL,406,2623924.60
All Other Support Activities for Transportation,SC,385,2623452.28
All Other Miscellaneous Ambulatory Health Care Services,UT,812,2623412.76
Surveying and Mapping (except Geophysical) Services,SC,261,2622640.27
Other Commercial Equipment Merchant Wholesalers,NC,268,2622189.44
All Other Personal Services,MT,491,2621314.30
Drywall and Insulation Contractors,KS,403,2621233.73
Siding Contractors,WA,207,2621045.17
